primary,lead_days,target_return_basis,chosen_variant,avg_oos_accuracy,is_strong,global_batch_stability_rate,latest_inner_test_acc,same_as_previous_batch
EUR/JPY,10,close,LogReg C=1.0,0.7213333333333334,True,0.4482758620689655,0.6,False
GBP/JPY,10,close,RF md=8 n=80,0.7173333333333334,True,0.4137931034482759,0.52,True
USD/CHF,10,close,LogReg C=1.0,0.708,True,0.3448275862068966,0.54,False
GBP/USD,7,high_low,RF md=8 n=80,0.704,True,0.4137931034482759,0.78,True
EUR/USD,8,high_low,LogReg C=1.0,0.7,True,0.4482758620689655,0.68,False
EUR/USD,10,high_low,LogReg C=1.0,0.7,True,0.3793103448275862,0.64,False
GBP/JPY,9,close,RF md=8 n=80,0.6973333333333334,True,0.4827586206896552,0.54,True
EUR/JPY,10,high_low,HGB md=4 mi=80 lr=0.1,0.6946666666666667,True,0.4137931034482759,0.64,False
EUR/USD,9,close,RF md=8 n=80,0.6933333333333334,True,0.4137931034482759,0.76,False
GBP/USD,9,high_low,RF md=8 n=80,0.6853333333333333,True,0.4137931034482759,0.76,True
EUR/USD,8,close,LogReg C=1.0,0.684,True,0.5172413793103449,0.68,False
EUR/USD,9,high_low,LogReg C=1.0,0.684,True,0.5172413793103449,0.66,False
GBP/USD,7,close,RF md=8 n=80,0.684,True,0.5172413793103449,0.74,True
USD/JPY,10,high_low,RF md=8 n=80,0.684,True,0.5862068965517241,0.68,True
GBP/USD,9,close,LogReg C=1.0,0.6813333333333333,True,0.5172413793103449,0.88,False
USD/JPY,10,close,HGB md=4 mi=80 lr=0.1,0.6813333333333333,True,0.4482758620689655,0.74,False
EUR/JPY,9,high_low,HGB md=4 mi=80 lr=0.1,0.68,True,0.5172413793103449,0.62,False
USD/CHF,7,close,LogReg C=1.0,0.68,True,0.4137931034482759,0.52,True
GBP/USD,10,high_low,HGB md=4 mi=80 lr=0.1,0.6786666666666666,True,0.5172413793103449,0.8,True
GBP/USD,10,close,LogReg C=1.0,0.676,True,0.3448275862068966,0.86,False
EUR/GBP,9,close,HGB md=4 mi=80 lr=0.1,0.6746666666666666,True,0.4827586206896552,0.62,False
GBP/JPY,10,high_low,RF md=8 n=80,0.6746666666666666,True,0.3448275862068966,0.58,True
GBP/USD,8,high_low,LogReg C=1.0,0.6746666666666666,True,0.3103448275862069,0.74,False
USD/CHF,9,close,LogReg C=1.0,0.6746666666666666,True,0.5862068965517241,0.5,False
USD/JPY,8,close,HGB md=4 mi=80 lr=0.1,0.6733333333333333,True,0.4827586206896552,0.66,False
USD/JPY,9,close,HGB md=4 mi=80 lr=0.1,0.6733333333333333,True,0.4137931034482759,0.74,False
EUR/USD,6,close,LogReg C=1.0,0.672,True,0.4137931034482759,0.66,False
EUR/JPY,8,high_low,HGB md=4 mi=80 lr=0.1,0.6706666666666666,True,0.3103448275862069,0.56,False
EUR/USD,7,close,LogReg C=1.0,0.6706666666666666,True,0.5517241379310345,0.7,False
GBP/JPY,8,close,RF md=8 n=80,0.6706666666666666,True,0.3448275862068966,0.62,True
EUR/JPY,5,high_low,RF md=8 n=80,0.6666666666666666,True,0.4137931034482759,0.62,False
EUR/JPY,9,close,LogReg C=1.0,0.6653333333333333,True,0.6206896551724138,0.66,False
EUR/USD,7,high_low,LogReg C=1.0,0.6653333333333333,True,0.3793103448275862,0.68,False
GBP/USD,8,close,LogReg C=1.0,0.6653333333333333,True,0.4137931034482759,0.84,False
GBP/USD,6,high_low,HGB md=4 mi=80 lr=0.1,0.6626666666666666,True,0.4482758620689655,0.82,False
NZD/USD,7,close,RF md=8 n=80,0.6626666666666666,True,0.4482758620689655,0.64,True
GBP/USD,5,high_low,RF md=8 n=80,0.6613333333333333,True,0.4482758620689655,0.78,True
USD/CHF,8,close,LogReg C=1.0,0.6613333333333333,True,0.4482758620689655,0.5,False
AUD/USD,10,close,HGB md=4 mi=80 lr=0.1,0.66,True,0.4137931034482759,0.54,False
NZD/USD,10,close,HGB md=4 mi=80 lr=0.1,0.66,True,0.2758620689655172,0.72,False
NZD/USD,9,close,RF md=8 n=80,0.6586666666666666,True,0.5862068965517241,0.68,True
NZD/USD,8,close,LogReg C=1.0,0.6573333333333333,True,0.3793103448275862,0.6,False
NZD/USD,10,high_low,RF md=8 n=80,0.6573333333333333,True,0.4137931034482759,0.74,False
USD/CHF,10,high_low,LogReg C=1.0,0.6573333333333333,True,0.4482758620689655,0.52,False
USD/CHF,6,close,LogReg C=1.0,0.656,True,0.4482758620689655,0.6,False
USD/CAD,10,high_low,RF md=8 n=80,0.6546666666666666,True,0.2068965517241379,0.58,False
USD/JPY,9,high_low,RF md=8 n=80,0.6533333333333333,True,0.5517241379310345,0.66,True
EUR/USD,5,high_low,LogReg C=1.0,0.652,True,0.2758620689655172,0.56,False
GBP/JPY,9,high_low,HGB md=4 mi=80 lr=0.1,0.652,True,0.3103448275862069,0.6,False
USD/JPY,6,close,RF md=8 n=80,0.652,True,0.4137931034482759,0.7,False
EUR/GBP,8,close,RF md=8 n=80,0.6506666666666666,True,0.4827586206896552,0.64,True
GBP/USD,6,close,RF md=8 n=80,0.6506666666666666,True,0.5172413793103449,0.76,True
EUR/GBP,10,close,HGB md=4 mi=80 lr=0.1,0.648,False,0.4827586206896552,0.48,False
USD/CAD,10,close,RF md=8 n=80,0.648,False,0.3103448275862069,0.58,False
EUR/JPY,8,close,HGB md=4 mi=80 lr=0.1,0.6466666666666666,False,0.3793103448275862,0.64,False
EUR/USD,10,close,RF md=8 n=80,0.6466666666666666,False,0.4482758620689655,0.82,False
USD/CAD,7,close,RF md=8 n=80,0.6466666666666666,False,0.4482758620689655,0.46,True
EUR/JPY,7,close,HGB md=4 mi=80 lr=0.1,0.6453333333333333,False,0.4137931034482759,0.6,False
USD/CAD,9,close,LogReg C=1.0,0.6453333333333333,False,0.3103448275862069,0.46,False
AUD/USD,9,close,RF md=8 n=80,0.644,False,0.4137931034482759,0.48,True
GBP/USD,4,close,RF md=8 n=80,0.644,False,0.3448275862068966,0.74,False
NZD/USD,8,high_low,LogReg C=1.0,0.644,False,0.4827586206896552,0.68,False
USD/CAD,8,close,HGB md=4 mi=80 lr=0.1,0.644,False,0.4137931034482759,0.54,False
EUR/USD,6,high_low,LogReg C=1.0,0.6426666666666667,False,0.3793103448275862,0.62,False
AUD/USD,7,close,RF md=8 n=80,0.6413333333333333,False,0.4137931034482759,0.48,True
EUR/GBP,4,close,HGB md=4 mi=80 lr=0.1,0.64,False,0.3103448275862069,0.64,False
NZD/USD,4,close,RF md=8 n=80,0.64,False,0.3448275862068966,0.58,True
NZD/USD,9,high_low,RF md=8 n=80,0.64,False,0.4482758620689655,0.72,True
AUD/USD,9,high_low,RF md=8 n=80,0.6386666666666667,False,0.5517241379310345,0.64,False
GBP/JPY,6,close,LogReg C=1.0,0.6373333333333333,False,0.4827586206896552,0.52,True
USD/CHF,4,high_low,LogReg C=1.0,0.636,False,0.5172413793103449,0.58,True
USD/CHF,7,high_low,LogReg C=1.0,0.636,False,0.2413793103448276,0.54,False
