primary,target_mode,lead,model,pooled_test_accuracy,sharpe,ann_return,max_drawdown,sortino,hit_rate,pct_traded,n_oos_days
EUR/USD,binary,1,SVM (RBF),0.5047619047619047,0.35306724285416763,0.01879212941268671,-0.10490422802505761,0.4679931034239539,0.5061058344640434,0.8773809523809524,840.0
EUR/USD,binary,1,MLP neural net,0.4988095238095238,0.32234631057332747,0.017343562376253674,-0.09433752903784343,0.43431135510290103,0.5034106412005457,0.8726190476190476,840.0
EUR/USD,binary,1,"Logit (statsmodels, PCA)",0.4880952380952381,-0.13000226350986055,-0.007170568348304429,-0.11328874563564484,-0.1778910273130082,0.4880503144654088,0.9464285714285714,840.0
EUR/USD,binary,1,"Probit (statsmodels, PCA)",0.48928571428571427,-0.13298761016713934,-0.007342057508790245,-0.10944227581295474,-0.18203801029342515,0.487468671679198,0.95,840.0
EUR/USD,binary,1,Random forest,0.49166666666666664,-0.14934224643026325,-0.008138907383586802,-0.13153053342475285,-0.20546402830173435,0.4885786802030457,0.9380952380952381,840.0
EUR/USD,binary,1,"Logistic (sklearn, on global PCA)",0.4928571428571429,-0.19389763610876432,-0.010587465850028122,-0.10642568796404173,-0.26405053273574813,0.48557089084065247,0.9488095238095238,840.0
EUR/USD,binary,1,Gradient boosting (sklearn),0.49166666666666664,-0.3973699428632805,-0.022101351898327737,-0.1380047676044387,-0.5468843024539327,0.49158653846153844,0.9904761904761905,840.0
EUR/USD,binary,1,Ensemble (weighted train acc),0.4785714285714286,-0.40565101132254816,-0.022002425237667156,-0.1276935401378979,-0.5563040209111065,0.4815270935960591,0.9666666666666667,840.0
EUR/USD,binary,1,Ensemble (mean proba),0.4738095238095238,-0.4158349060545375,-0.022734008481899548,-0.13394047506288909,-0.5734954009165397,0.47718865598027127,0.9654761904761905,840.0
EUR/USD,binary,1,Hist gradient boosting,0.475,-0.9185070825404282,-0.05025112456912473,-0.21534587628532142,-1.2422972396691638,0.4746376811594203,0.9857142857142858,840.0
EUR/USD,binary,1,XGBoost,0.46785714285714286,-0.9884443954419774,-0.053869787261607294,-0.21500532533569183,-1.3354680189320312,0.4692400482509047,0.986904761904762,840.0
EUR/USD,binary,2,MLP neural net,0.5190476190476191,0.9135390137001013,0.072480455206968,-0.1726435473225144,1.4645565847056319,0.5181208053691275,0.8869047619047619,840.0
EUR/USD,binary,2,Gradient boosting (sklearn),0.5202380952380953,0.76746803964722,0.06431682751317869,-0.1556169745673881,1.099098170773309,0.5199034981905911,0.986904761904762,840.0
EUR/USD,binary,2,Ensemble (weighted train acc),0.513095238095238,0.28755449098575203,0.023413558960245107,-0.17808995165179253,0.40219949309773073,0.5158150851581509,0.9785714285714285,840.0
EUR/USD,binary,2,Ensemble (mean proba),0.5083333333333333,0.05781233847640724,0.004654204045626331,-0.20696510352069641,0.07993350247593639,0.5086633663366337,0.9619047619047619,840.0
EUR/USD,binary,2,SVM (RBF),0.5178571428571429,0.046747711136156486,0.003723530929833352,-0.201144421821293,0.06212910750668182,0.5157232704402516,0.9464285714285714,840.0
EUR/USD,binary,2,Random forest,0.5083333333333333,-0.029493506139777827,-0.00235764660885851,-0.2314245730311455,-0.04024685312573227,0.5056320400500626,0.9511904761904761,840.0
EUR/USD,binary,2,XGBoost,0.5047619047619047,-0.16640487989634167,-0.01339356671939429,-0.24768775533090115,-0.2308850556083265,0.5036319612590799,0.9833333333333333,840.0
EUR/USD,binary,2,"Probit (statsmodels, PCA)",0.4988095238095238,-0.20534514911726348,-0.016250024336213365,-0.17716953623403042,-0.28274302686297464,0.5024813895781638,0.9595238095238096,840.0
